#Temperature,GStar,GStarEntropic
629.891077471345,127.164980026044,127.164980026044
583.498363252218,125.651100549643,125.651100549643
538.471912368061,124.179348511703,124.179348511703
494.407381304698,122.742802013864,122.742802013864
452.532485292486,121.383615274965,121.383615274965
412.867656370142,120.099552546366,120.099552546366
375.769526717431,118.895445644124,118.895445644124
341.254692871161,117.763355967073,117.763355967073
309.781245739166,116.711486332609,116.711486332609
281.106236243429,115.728980197821,115.728980197821
255.020117930363,114.809212325375,114.809212325375
231.315124212598,113.947731927974,113.947731927974
209.78568775481,113.13981321297,113.13981321297
190.241665509757,112.378394022958,112.378394022958
172.405211384655,111.648045814135,111.648045814135
156.304994803954,110.941237560836,110.941237560836
141.750167624224,110.237281794154,110.237281794154
134.339381381132,109.843189326474,109.843189326474
121.814019604102,109.097155134241,109.097155134241
110.468880628994,108.298642687731,108.298642687731
107.092042159308,108.030967017066,108.030967017066
97.1373788884686,107.137533649773,107.137533649773
88.1501577107463,106.161332769981,106.161332769981
80.0741155374174,105.102914942006,105.102914942006
72.7595756709692,103.955919206723,103.955919206723
66.1090463383037,102.721861646467,102.721861646467
60.0912991936257,101.419561110632,101.419561110632
54.6392016717373,100.066884464236,100.066884464236
49.6621319755378,98.6774639717549,98.6774639717549
45.1561882802121,97.2903708552317,97.2903708552317
41.0243381482852,95.9171011931416,95.9171011931416
37.2553180667324,94.5932499109178,94.5932499109178
33.8343402137217,93.3503202137548,93.3503202137548
30.7023424823586,92.1970648686872,92.1970648686872
27.8569133603473,91.1549135945339,91.1549135945339
25.2765099975304,90.2299760325623,90.2299760325623
22.9205523195516,89.415806280868,89.415806280868
20.7720598436025,88.7090456490675,88.7090456490675
18.8176210131582,88.1055947755576,88.1055947755576
17.0533683911465,87.6025177272256,87.6025177272256
15.4436932990323,87.1872497578811,87.1872497578811
13.9972388333257,86.8581099775277,86.8581099775277
12.6771316109259,86.6007497851904,86.6007497851904
11.4850164562737,86.407250057984,86.407250057984
10.4125174189651,86.2649204853434,86.2649204853434
9.43465820772717,86.1581753052125,86.1581753052125
8.55600036978843,86.0752111501451,86.0752111501451
7.76040160127244,86.003212241971,86.003212241971
7.03285950746257,85.932114587896,85.932114587896
6.37495023931659,85.8544325726354,85.8544325726354
5.77124621007479,85.762749089431,85.762749089431
5.22733996150614,85.6531440070045,85.6531440070045
4.73329335186305,85.5198305842562,85.5198305842562
4.28555599265763,85.3577410786045,85.3577410786045
3.88041126068778,85.1613975648402,85.1613975648402
3.51404274117641,84.9246863661083,84.9246863661083
3.18281487948309,84.6409989901617,84.6409989901617
2.88339499809549,84.3034457277217,84.3034457277217
2.6114802199643,83.9028908599883,83.9028908599883
